      Unix Time              Julian Date        RA      BorS            DEC     MSDPK                   DETPOW             MEANPOW       FINECHAN       COARCHID          ifreq
     1433869512           2457183.250000   6.13289         2        12.5586         0      791492755456.000000    566657216.000000              0            252        336.109
     1433869512           2457183.250000   6.13289         2        12.5586         0        4622819840.000000    164485632.000000          25491            252        336.131
     1433869512           2457183.250000   6.13289         3        12.5586         0       10759680000.000000    192608256.000000          44277             67        315.912
     1433869512           2457183.250000   6.13289         3        12.5586         0        4730374656.000000    192432640.000000          44278             67        315.912
     1433869512           2457183.250000   6.13289         3        12.5586         0       60452659200.000000    233257584.000000              0            252        336.109
     1433869512           2457183.250000   6.12805         4        12.5008         0        4078925568.000000    177406464.000000          22570            197        330.113
     1433869512           2457183.250000   6.12805         4        12.5008         0      156911058944.000000    233939632.000000              0            252        336.109
     1433869512           2457183.250000   6.12805         5        12.5008         0        1972840448.000000     51437440.000000          56174            151        325.109
     1433869512           2457183.250000   6.12805         5        12.5008         0     1072526852096.000000    607107968.000000              0            252        336.109
     1433869512           2457183.250000   6.12958         6        12.4004         0      247966121984.000000    409474592.000000              0            252        336.109
     1433869512           2457183.250000   6.12958         6        12.4004         0        6216929280.000000    271697408.000000          25491            252        336.131
     1433869512           2457183.250000   6.12958         7        12.4004         0        2457486592.000000     61981440.000000          56174            151        325.109
     1433869512           2457183.250000   6.12958         7        12.4004         0       19625859072.000000    109706256.000000              0            252        336.109
     1433869512           2457183.250000   6.13599         8        12.3572         0        2257020160.000000     57865600.000000          44277             67        315.912
     1433869512           2457183.250000   6.13599         8        12.3572         0      314953629696.000000    211333296.000000              0            252        336.109
     1433869512           2457183.250000   6.13599         9        12.3572         0        2089460224.000000     85977344.000000          56173            151        325.109
     1433869512           2457183.250000   6.13599         9        12.3572         0        7203278336.000000     85762048.000000          56174            151        325.109
     1433869512           2457183.250000   6.13599         9        12.3572         0        2355439360.000000     85378304.000000          56174            152        325.219
     1433869512           2457183.250000   6.13599         9        12.3572         0      130094833664.000000    207262960.000000              0            252        336.109
     1433869512           2457183.250000   6.14082        10         12.415         0        3275936512.000000    163339776.000000          80395              4        3892.94
     1433869512           2457183.250000   6.14082        10         12.415         0        6058485248.000000    118802432.000000          56174            151        325.109
     1433869512           2457183.250000   6.14082        10         12.415         0      767677956096.000000    572297792.000000              0            252        336.109
     1433869512           2457183.250000   6.14082        11         12.415         0        4581741568.000000     92976128.000000          56174            151        325.109
     1433869512           2457183.250000   6.14082        11         12.415         0        5427629568.000000    151289856.000000          22570            197        330.113
     1433869512           2457183.250000   6.14082        11         12.415         0      254810177536.000000    290887008.000000              0            252        336.109
     1433869512           2457183.250000   6.13926        12         12.516         0        2622562048.000000    130592152.000000              0             28        311.609
     1433869512           2457183.250000   6.13926        12         12.516         0        2515215360.000000    100007936.000000          93623             42        3897.11
     1433869512           2457183.250000   6.13926        12         12.516         0        3400214272.000000     89244160.000000          44277             67        315.912
